index	name	station	fc	amplitude	type	basin	wtype	magnitude	depth	latitude	longitude	azimuth	slatitude	slongitude	PGAtoth	PGAtotv	PGVtoth	PGVtotv	PGDtoth	PGDtotv	RMSh	RMSv	CAVh	CAVv	Ecumh	Ecumv	t_5_95h_1	t_5_95h_2	t_5_95v_1	t_5_95v_2	Tdh	Tdv	ariash	ariasv	PredPSa_h	PredPeriod_h	SI_h	PredPSa_v	SI_v	PredPSa_hw	PredPeriod_hw	SI_hw	PredPSa_vw	PredPeriod_vw	SI_vw	Tmh	Fmh	Tmv	Fmv	Peak Period controlled by	PSa difference	SI difference
11272	2011_03_11	TKY004	0.55	0.38	Pro	Kanto	Rayleigh	6.1	27	37.42	141.32	4.897	35.63	139.4	17.98829111	11.03152222	7.3037524	3.273543467	6.16325881	2.20638963	2.096296688	1.351419154	455.1917768	290.4789111	1843.69561	766.2383168	99.45	238.65	92.1	226.2	139.35	134.25	295.2161359	122.6915732	63.99803025	0.76	74.76594718	32.17656202	54.92910444	64.29220828	0.76	84.52026821	31.85028767	0.93	58.35672118	1.155197118	1.253463723	1.4669515	1.010252924	Body	0.294178023	1.130464756
12080	2019_07_06	24051	0.17	0.53	Ret	Los_Angeles	Rayleigh	7.1	8	35.77	-117.6	4.92	34.25	118.54	18.04706856	6.574878097	5.657777887	2.729825765	5.67932795	1.99536629	2.280589715	1.236132199	250.6201584	152.4334029	1276.867485	375.1296084	105	157.5	89.5	161.6666667	52.66666667	72.33333334	204.4545113	60.0664843	52.32465793	0.44	80.71584933	24.70050007	33.76209756	51.48168943	0.44	85.59176242	25.58069307	4	38.05370925	1.116551564	1.271388046	1.721101736	0.982084467	Body	-0.842968502	1.060408372
11223	1999_10_16	24806	0.16	0.83	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.455	34.22	118.57	18.46857562	10.14658843	5.088196098	4.150906597	2.65937654	1.78939869	2.96351015	1.549543195	331.6455394	166.6848768	1971.647135	539.0433945	75.83333333	138.5	68.66666667	137	62.83333334	68.5	315.7039834	86.31267931	74.03736597	0.73	95.69460471	42.84189096	53.24664163	88.23213282	2.53	135.146376	44.94289562	2.66	62.30667959	1.343364081	1.064335509	1.837709215	0.738778284	Surface	14.19476684	1.412267457
11539	2011_03_11	KNG004	0.24	1.53	Ret	Kanto	Rayleigh	6.1	27	37.42	141.32	4.29	35.14	139.62	18.57369289	9.90398	5.560553733	3.3514088	3.19401001	2.03788831	1.985619481	1.078513125	384.5051953	229.3043939	1654.153375	488.0165999	106.95	191.7	94.95	203.55	84.9	108.75	264.8662636	78.14216947	62.95751858	0.83	93.959131	31.68087575	45.73435886	62.42747768	0.83	99.11969247	35.02573357	2.83	52.38049257	1.766937551	0.83575934	1.6902274	0.795133144	Body	-0.530040901	1.05492347
11087	1971_02_09	132	0.21	2.78	Ret	Los_Angeles	Rayleigh	6.6	8.8	34.28	-118.4	0.792	33.78	118.11	19.36547167	9.777259769	5.124386538	2.547539409	3.9325603	2.28364887	2.886264159	1.354689984	221.2178734	101.8804774	1439.791706	317.1811388	62.66666667	99.83333333	63.5	110.1666667	37.33333333	46.83333334	230.5422551	50.78766236	53.49375349	0.52	80.02839589	38.6259949	33.99136078	69.01540638	1.24	94.639569	39.8866311	0.49	42.06317584	1.489544891	1.142448723	1.226779239	1.48464479	Surface	15.52165289	1.182574859
11445	2011_03_11	KNG009	0.18	0.26	Pro	Kanto	Rayleigh	6.1	27	37.42	141.32	4.231	35.44	139.36	19.47750313	5.987314063	5.170594563	3.604219313	3.32758145	2.94897411	2.63090603	0.947193795	408.5620214	155.1263823	2211.610893	286.6657029	88.96	183.84	82.24	182.24	95.04	100.16	354.1274482	45.90147127	71.44061028	0.71	81.80669566	21.28566216	30.21786324	69.92171946	0.71	87.07432196	21.34871495	0.4	31.81617789	0.93439042	1.50232144	1.040701881	1.459054182	Body	-1.518890818	1.064391139
11119	1992_06_28	24612	0.32	0.39	Ret	Los_Angeles	Rayleigh	7.3	1.1	34.22	-116.43	4.444	34.04	118.27	19.58223234	8.066081557	5.100736998	3.043232759	3.33758429	2.11957192	2.85651323	1.312984784	304.5744462	144.7347303	1793.767014	378.9770758	73.16666667	139	69.33333333	136.1666667	66	67.00000001	287.2214717	60.68254828	65.84899407	0.7	94.84624047	22.70516546	40.18395349	82.47012965	1.06	114.6016861	35.18173545	1.01	50.70580691	1.468195699	0.932958003	1.546934135	0.979145042	Surface	16.62113558	1.20828918
11127	Tohoku	CHB021	0.11	0.95	Pro	Kanto	Rayleigh	9	24	38.1	142.86	1.441	34.91	139.9	19.681636	11.67103956	9.046837467	6.014939933	15.29196095	7.51279407	2.189457158	1.484496487	564.7340591	370.6326179	2586.453055	1189.022424	208.65	350.55	218.25	341.85	142.05	123.75	414.147906	190.3885888	63.33376204	0.6	92.07601132	55.3364559	71.2320106	63.03191939	2.34	98.00953794	54.13365221	1.86	71.30759432	1.515817264	1.256884038	1.95260066	0.667933762	Surface	-0.30184265	1.064441612
11128	Tohoku	CHB021	0.11	0.95	Ret	Kanto	Rayleigh	9	24	38.1	142.86	4.583	34.91	139.9	19.681636	11.67103956	9.046837467	6.014939933	15.29196095	7.51279407	2.189457158	1.484496487	564.7340591	370.6326179	2586.453055	1189.022424	208.65	350.55	218.25	341.85	142.05	123.75	414.147906	190.3885888	63.33376204	0.6	92.07601132	55.3364559	71.2320106	63.03191939	2.34	98.00953794	54.13365221	1.86	71.30759432	1.515817264	1.256884038	1.95260066	0.667933762	Surface	-0.30184265	1.064441612
11218	1999_10_16	24800	0.24	1.03	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.413	34.27	118.47	19.69611041	9.097486556	5.035376719	2.197606396	4.20536877	1.13573393	2.467624749	1.200462827	197.8334682	110.6408691	1226.968163	290.3838723	83.83333333	110.1666667	64.5	126.3333333	26.50000001	62	196.4645345	46.4968318	71.58713414	0.77	103.444121	30.57461559	47.84050552	71.39841491	0.77	107.6249635	34.15570401	1.23	50.65236284	1.341734449	0.946965119	1.299686914	1.022134481	Body	-0.188719232	1.040416434
11677	2011_03_11	SIT013	0.22	1.56	Ret	Kanto	Rayleigh	6.1	27	37.42	141.32	4.88	35.8	139.47	19.69947067	5.606582222	6.796554533	1.786897933	3.43413117	1.14728296	2.323202796	0.932044385	492.0345653	231.3332573	2264.425144	364.465911	102.3	261.9	98.4	273.15	159.75	174.9	362.5841691	58.35899228	63.84548095	2.51	105.0564818	16.51082767	30.18480563	67.15381196	2.51	111.0419346	21.33678907	1.33	37.09859926	1.35463403	1.359841315	1.625335611	0.944047262	Body	3.308331009	1.056973664
